epoch,acc,loss,val_acc,val_loss
0,0.6344781593874559,0.9339291035632127,0.328125,1.9786202943325042
1,0.7893,0.5808073131879171,0.36,1.6790734672546386
2,0.8389796598826539,0.45993683181750294,0.440625,1.8786353659629822
3,0.874,0.3738452125032743,0.4325,2.1240413290262223
4,0.8885628542847616,0.3370573255679098,0.513125,2.212740654349327
5,0.9048333333333334,0.2960620224078496,0.5175,2.344315717220306
6,0.9134378126002264,0.2766768338482314,0.4425,2.888605662584305
7,0.9220333333333334,0.25515554911295574,0.3825,2.5896994417905805
